power_W,gpu_util_pct
296.7,100
302.3,100
307.0,100
97.0,0
303.2,100
293.7,100
305.8,100
303.8,100
303.4,100
92.2,0
300.5,100
307.4,100
302.4,100
304.8,100
303.8,100
291.3,100
303.6,100
305.2,100
290.5,100
282.7,100
289.9,100
302.2,100
304.6,100
95.2,100
303.8,100
96.3,100
99.5,0
289.3,100
301.5,100
293.4,100
290.8,100
303.3,100
299.7,100
294.2,100
93.5,0
82.7,0
303.3,100
294.2,100
294.9,100
304.0,100
299.7,100
290.1,100
303.2,100
279.1,100
291.6,100
289.3,100
300.5,100
299.0,100
300.6,100
303.7,100
303.8,100
291.6,100
93.3,0
85.7,0
306.1,100
294.0,100
297.2,100
299.9,100
297.2,100
302.8,100
95.5,48
295.4,100
303.6,100
295.5,100
301.9,92
84.6,0
361.9,25
305.6,5
285.1,100
303.0,100
286.3,100
98.3,0
303.8,100
297.8,100
85.8,0
301.8,100
295.0,100
293.6,96
299.9,100
297.1,100
306.5,100
289.9,100
296.4,100
302.6,100
392.0,0
300.7,100
303.9,100
298.2,100
305.2,100
301.2,100
306.8,100
292.6,100
88.0,0
301.2,100
305.1,100
304.9,100
295.9,100
302.7,100
301.5,100
302.7,100
301.9,100
302.4,100
300.7,100
303.1,100
296.4,95
301.0,100
305.4,100
304.7,100
300.9,100
291.0,100
298.8,100
302.6,100
290.9,100
306.3,100
304.2,100
301.0,100
304.7,100
294.3,100
290.4,100
299.5,100
300.1,100
302.4,100
296.4,100
87.2,0
299.7,100
300.6,100
294.4,100
303.0,100
305.0,100
305.8,100
304.7,100
298.2,100
303.2,100
305.2,100
298.9,100
300.6,100
306.1,100
285.1,100
292.3,100
296.6,100
87.1,0
307.4,100
302.7,100
302.4,100
290.1,100
305.1,100
302.0,100
297.7,100
302.3,100
305.5,100
296.3,100
88.0,0
303.9,100
305.3,100
296.6,100
304.8,100
298.2,100
294.0,100
291.3,100
89.2,0
303.4,100
303.4,100
305.9,100
86.3,0
275.9,90
269.1,100
300.6,100
88.7,0
302.5,100
301.2,100
299.0,100
304.3,100
296.5,100
290.7,100
294.8,100
86.9,0
304.9,100
302.9,100
304.4,100
301.9,100
303.3,100
303.0,100
297.3,100
94.6,0
300.1,100
302.1,100
304.1,100
97.9,0
296.6,67
301.2,54
303.0,100
301.6,100
303.4,100
92.4,0
94.1,0
91.5,0
288.9,100
295.6,100
291.0,100
295.6,52
303.3,100
281.8,100
295.2,100
297.2,100
301.3,100
297.2,100
304.2,100
303.0,100
303.6,100
301.1,100
292.2,100
96.1,0
95.2,0
302.1,100
287.8,100
303.6,100
87.4,0
295.6,100
94.7,0
86.2,0
302.5,100
289.6,100
301.7,100
291.5,100
306.9,100
295.1,100
299.7,100
297.1,100
293.2,100
91.2,0
299.3,100
305.2,100
294.4,100
308.1,100
301.0,100
294.9,100
295.4,100
293.3,100
297.6,100
302.9,100
298.6,100
293.2,100
294.7,100
292.5,100
84.5,0
300.5,100
300.1,100
85.2,0
300.6,100
301.3,100
300.9,100
90.2,0
287.7,100
300.2,100
301.7,100
294.0,100
296.0,100
300.9,100
298.9,100
299.9,100
303.5,100
297.8,100
306.2,100
297.8,100
295.4,100
293.7,100
88.2,0
300.4,100
294.2,100
99.0,63
298.5,100
292.0,100
296.4,100
296.4,100
93.3,0
304.3,100
300.6,100
98.4,0
304.1,100
301.8,100
299.4,100
302.3,100
305.4,100
87.5,0
299.5,100
92.5,0
299.7,100
299.1,100
293.8,100
300.7,100
94.6,0
308.1,0
298.0,100
300.2,86
291.6,100
295.1,100
301.7,100
289.1,100
277.5,100
296.2,100
300.7,100
88.2,0
301.4,100
304.8,100
285.3,87
304.4,100
304.8,100
296.3,100
298.1,100
299.0,100
300.0,100
300.9,100
289.5,100
300.2,100
300.0,100
94.2,0
294.8,100
292.1,100
299.4,100
301.0,100
302.2,100
293.5,100
86.6,0
92.5,0
303.2,100
301.1,100
292.5,100
300.5,100
302.7,100
302.1,100
294.9,100
297.9,100
294.2,100
299.1,100
302.8,100
89.0,0
291.0,100
305.0,100
82.9,0
293.7,100
302.9,100
303.2,100
293.9,100
304.4,100
301.1,100
88.6,0
300.3,100
289.9,100
300.2,100
301.1,100
293.2,100
296.3,100
304.7,100
287.6,100
301.2,100
300.3,100
92.0,0
302.9,100
93.1,0
296.9,100
303.8,100
307.9,93
302.5,100
296.5,100
297.8,100
297.9,100
304.8,100
303.9,100
298.4,100
303.1,100
293.8,100
295.3,100
300.8,100
300.8,100
87.4,0
301.0,100
300.2,100
304.4,100
304.5,100
302.3,100
303.7,100
287.8,100
294.5,100
301.6,100
299.6,100
305.5,100
291.9,100
302.9,100
299.5,100
301.4,100
302.1,100
300.0,100
304.7,100
302.6,100
88.8,0
305.1,100
308.1,100
300.9,100
303.4,100
300.2,100
300.3,100
295.1,100
299.9,100
293.9,100
307.9,100
304.1,100
293.7,100
303.6,100
295.2,100
214.4,6
294.1,100
93.0,0
303.8,100
299.4,100
299.6,100
296.1,100
87.7,0
80.3,0
91.1,0
302.2,100
294.3,100
94.5,0
293.8,100
304.6,100
260.2,73
296.8,100
299.1,100
305.2,100
