sample,avg_power_W,seconds_from,seconds_to
0,47.1,0,59
1,76.4,60,119
2,65.8,120,179
3,65.2,180,239
4,65.3,240,299
5,65.2,300,359
6,65.1,360,419
7,64.8,420,479
8,64.5,480,539
9,64.5,540,599
10,64.5,600,659
11,65.0,660,719
12,65.2,720,779
13,65.3,780,839
14,65.3,840,899
15,65.2,900,959
16,64.8,960,1019
17,64.8,1020,1079
18,64.6,1080,1139
19,64.8,1140,1199
20,65.0,1200,1259
21,64.7,1260,1319
22,64.5,1320,1379
23,64.8,1380,1439
24,64.6,1440,1499
25,64.6,1500,1559
26,64.8,1560,1619
27,64.8,1620,1679
28,64.7,1680,1739
29,64.5,1740,1799
30,64.5,1800,1859
31,64.3,1860,1919
32,64.3,1920,1979
33,64.3,1980,2039
34,64.3,2040,2099
35,64.3,2100,2159
36,64.9,2160,2219
37,65.0,2220,2279
38,64.6,2280,2339
39,64.9,2340,2399
40,64.9,2400,2459
41,64.7,2460,2519
42,64.6,2520,2579
43,64.8,2580,2639
44,65.0,2640,2699
45,64.7,2700,2759
46,64.4,2760,2819
47,64.4,2820,2879
48,64.2,2880,2939
49,64.2,2940,2999
50,64.3,3000,3059
51,64.2,3060,3119
52,64.5,3120,3179
53,65.1,3180,3239
54,65.0,3240,3299
55,64.9,3300,3359
56,65.1,3360,3419
57,65.0,3420,3479
58,64.5,3480,3539
59,64.7,3540,3599
60,198.5,3600,3659
61,171.9,3660,3719
62,155.8,3720,3779
63,141.8,3780,3839
64,225.1,3840,3899
65,141.5,3900,3959
66,198.4,3960,4019
67,287.3,4020,4079
68,296.3,4080,4139
69,297.1,4140,4199
70,295.6,4200,4259
71,299.9,4260,4319
72,291.8,4320,4379
73,299.5,4380,4439
74,249.7,4440,4499
75,213.1,4500,4559
76,260.5,4560,4619
77,293.9,4620,4679
78,130.3,4680,4739
79,220.8,4740,4799
80,207.2,4800,4859
81,294.5,4860,4919
82,295.5,4920,4979
83,294.7,4980,5039
84,301.1,5040,5099
85,299.9,5100,5159
86,285.7,5160,5219
87,223.6,5220,5279
88,213.1,5280,5339
89,298.0,5340,5399
90,211.7,5400,5459
91,212.5,5460,5519
92,288.2,5520,5579
93,289.6,5580,5639
94,287.5,5640,5699
95,187.8,5700,5759
96,294.6,5760,5819
97,190.4,5820,5879
98,259.0,5880,5939
99,268.9,5940,5999
100,83.5,6000,6059
101,259.9,6060,6119
102,201.5,6120,6179
103,157.2,6180,6239
104,230.7,6240,6299
105,109.7,6300,6359
106,290.5,6360,6419
107,218.4,6420,6479
108,220.0,6480,6539
109,282.3,6540,6599
110,291.0,6600,6659
111,213.3,6660,6719
112,293.8,6720,6779
113,289.6,6780,6839
114,291.6,6840,6899
115,296.0,6900,6959
116,247.0,6960,7019
117,249.6,7020,7079
118,292.7,7080,7139
119,207.8,7140,7199
120,202.9,7200,7259
121,287.1,7260,7319
122,291.1,7320,7379
123,298.9,7380,7439
124,296.4,7440,7499
125,293.4,7500,7559
126,297.1,7560,7560
